userId,Movie_id,Movie_Title,Released_Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
1,1,Prem Sanyas,,,Drama,,,J.S. Randhawa,Manmauji,Birbal,Rajendra Bhatia
3,3,Shiraz,-2019,109 min,Drama,7,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
5,5,Prapancha Pash,-2021,90 min,"Drama, Musical",,,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana
6,6,Alam Ara,-2019,110 min,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
8,8,Achhut Kanya,-2010,105 min,Drama,,,Amol Palekar,Rajat Kapoor,Rituparna Sengupta,Antara Mali
9,9,Sant Tukaram,-1997,147 min,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
10,10,Aag,-2005,142 min,"Drama, Romance, War",7.4,"1,086",Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
11,11,Andaz,-2008,59 min,Documentary,,,Anirban Datta,,,
12,12,Barsaat,-2012,82 min,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
13,13,Mahal,-2014,116 min,"Action, Crime, Thriller",4,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
15,15,Awaara,-2004,96 min,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni
18,18,Baazi,-2016,120 min,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
21,21,Pathala Bhairavi,-1991,161 min,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
22,22,Il fiume,-2012,166 min,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
25,25,Il principe Yanez,-1990,,Thriller,,,Harish,Saraswati,Disco Shanti,
28,28,Baiju Bawra,-2018,102 min,"Comedy, Drama",7.4,"6,619",Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
30,30,Daag,,,,,,Anand Anddy,Vijay Raaz,Sanjay Mishra,Brahmanandam
32,32,Jaal,-1987,,"Comedy, Drama, Fantasy",,,Rajpati,Pravin Anand,Nayan Bhatt,Jeetu
33,33,I giganti della giungla,-2010,87 min,"Comedy, Drama, Romance",6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
34,34,Nagarik,-1948,,,,,Homi Wadia,Aftab,Sayani Atish,Austin Ki Bachchi
36,36,Aah,-2021,,"Comedy, Drama, Family",,,Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit
38,38,Due ettari di terra,-1958,132 min,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
39,39,Parineeta,-2021,105 min,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
40,40,Sharey Chuattar,,,Biography,,,Sohail Tatari,,,
41,41,Aar-Paar,-2021,,Documentary,,,Varrun Sukhraj,,,
42,42,Amar,-2017,116 min,"Comedy, Horror",6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
43,43,Boot Polish,-2010,,Action,,,N.K. Pareek,Nirmal Pandey,Khushi Rajpoot,Raj Singh Verma
44,44,Taxi Driver,-2020,66 min,Drama,,,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt
45,45,Devdas,-2009,146 min,"Drama, Horror, Mystery",7.3,"6,329",Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
50,50,Mr. & Mrs. '55,-2021,,Comedy,,,Devanshu Singh,Vikrant Massey,Kriti Kharbanda,Gauahar Khan
51,51,Il lamento sul sentiero,-2005,116 min,Drama,7.1,"1,002",Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
53,53,Shree 420,-2002,112 min,,,,Batul Mukhtiar,,,
54,54,L'invitto,-1993,168 min,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
55,55,C.I.D.,-2002,158 min,"Action, Thriller",6.9,"1,235",Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
58,58,Chori Chori,-2014,126 min,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
60,60,Jagte Raho,-1946,,"Drama, History",5,8,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi
61,61,Kabuliwala,-2004,94 min,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey
62,62,Mother India,,,"Drama, History, Sport",,,Nikkhil Advani,John Abraham,,
63,63,Due occhi e dodici mani,-2008,138 min,"Horror, Mystery, Romance",6.4,"3,100",Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
69,69,Harano Sur,-2016,120 min,"Horror, Mystery",4.1,"1,559",Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
70,70,Madhumati,-2012,124 min,"Drama, Horror, Romance",4.8,"1,811",Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
71,71,Nau Do Gyarah,-2018,144 min,"Horror, Mystery, Romance",4.5,"1,069",Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
73,73,Naya Daur,-1994,157 min,"Action, Drama, History",7.2,"3,223",Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
74,74,Paying Guest,-2007,136 min,"Action, Drama, War",8.1,"1,892",Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
75,75,Sete eterna,-2019,107 min,Thriller,4,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
78,78,Tumsa Nahin Dekha,-2017,113 min,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
79,79,Ajantrik,-2014,,Drama,7.3,16,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia
82,82,Bari Theke Paliye,-2019,,Comedy,,,Saki Shah,Bilal Ahamad Bhagat,Neelu Dogra,Rahat Kazmi
84,84,Howrah Bridge,,,Drama,,,,,,
85,85,La sala da musica,-2013,,"Comedy, Family",5.6,14,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra
87,87,Kala Pani,-2012,80 min,"Adventure, Horror, Mystery",6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
88,88,Parash Pathar,-2003,122 min,"Action, Crime, Thriller",5,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
89,89,Solva Saal,-2005,,Drama,,,Kishan Shah,Ramesh Goyal,Satnam Kaur,Anil Nagrath
90,90,Yahudi,-2014,149 min,"Comedy, Drama, Romance",6.9,"24,034",Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
91,91,Anari,-2018,148 min,"Action, Sci-Fi",6.2,"21,938",S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
