,Unnamed: 0,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Director,Actor,genres,movie_title,Actor_name,comb
0,439.0,tt0016240,Prem Sanyas,Prem Sanyas,1925.0,1926-02-04,Drama,97.0,"India, Germany",,"Franz Osten, Himanshu Rai","Edwin Arnold, Niranjan Pal",Bombay Talkies Films,"Seeta Devi, Himanshu Rai, Sarada Ukil, Ranibala, Prafulla Roy, Modhu Bose, Mrinalini Devi, Sunalini Devi, Sushil Ghosh, Sundar Rajam, Ekambi 'Wilhelm' Tongo",This adaptation of Arnold's 1861 Orientalist epic opens with documentary shots of tourists in Bombay watching street performers. Then a white-bearded old man sitting under the bodhi tree ...,6.8,134.0,,,,,3.0,1.0,,,,,,
1,672.0,tt0019374,Shiraz,Shiraz,1928.0,1929-10-21,"Drama, History, Romance",97.0,"India, UK, Germany",,Franz Osten,"Niranjan Pal, William A. Burton",Pro Patria Films,"Himanshu Rai, Charu Roy, Seeta Devi, Enakashi Rama Rao, Maya Devi, Profulla Kumar","A historical romance set in the Mughal Empire. Selima (Enakshi) is a princess-foundling raised by a potter and loved by her brother, Shiraz (Rai). She is abducted and sold as a slave to ...",7.0,229.0,,,16467.0,,4.0,9.0,,,,,,
2,787.0,tt0020286,Prapancha Pash,Prapancha Pash,1929.0,2008,"Adventure, Drama, Romance",74.0,"UK, India, Germany",English,Franz Osten,"Niranjan Pal, W.A. Burton",British Instructional Films (BIF),"Seeta Devi, Himanshu Rai, Charu Roy, Modhu Bose, Sarada Gupta, Tincory Chakrabarty, Lala Bijoykishen","Two neighboring Indian kingdoms are ruled by cousins - King Ranjit and King Sohat. Unbeknownst to Ranjit, Sohat is plotting to seize control of his kingdom.",6.5,710.0,,,2306.0,,8.0,14.0,,,,,,
3,1016.0,tt0021594,Alam Ara,Alam Ara,1931.0,1931-03-14,"Drama, Fantasy",124.0,India,"Hindi, Urdu",Ardeshir Irani,"Joseph David, Joseph David",Imperial Movietone,"Master Vithal, Zubeida, Jillo, Sushila, Prithviraj Kapoor, Elizer, W.M. Khan, Jagdish Sethi, L.V. Prasad","A period fantasy that told of the ageing king of Kamarpur, and his two rival queens, Navbahar and Dilbahar, and their rivalry when a fakir predicts that Navbahar will bear the king's heir. ...",6.3,106.0,,,,,,1.0,,,,,,
4,2308.0,tt0027256,Achhut Kanya,Achhut Kanya,1936.0,1936,"Drama, Musical, Romance",142.0,India,"Hindi, Urdu",Franz Osten,"J.S. Casshyap, Niranjan Pal",,"Devika Rani, Ashok Kumar, Monorama, Pramila, Kamta Prasad, Kusum Kumari, Anwari, P.F. Pithawala, Kishori Lal, Ishrat, N.M. Joshi, Khosla, Mumtaz Ali, Sunita Devi, Najam Naqvi","An ""untouchable"" girl and a Brahmin boy fall in love, but the strict caste system and the gossip of the villagers threaten to keep them apart.",6.5,104.0,,,,,2.0,1.0,,,,,,
5,2514.0,tt0028217,Sant Tukaram,Sant Tukaram,1936.0,2013-10-24,Biography,131.0,India,"Marathi, Hindi","Vishnupant Govind Damle, Sheikh Fattelal",Shivram Vashikar,Prabhat Films,"Vishnupant Pagnis, Gauri, B. Nandrekar, Shankar Kulkarni, Kusum Bhagwat, Shanta Majumdar, Master Chhotu, Pandit Damle, Kaka Bhagvat, Sri Bhagwat","This classic film chronicles the life of Tukaram (17th C.), one of Maharashtra's most popular saint poets, activating the 20th-C. resonances of his turning away from courtly Sanskrit ...",6.7,218.0,,,,,3.0,1.0,,,,,,
6,5736.0,tt0040067,Aag,Aag,1948.0,1948-08-06,"Musical, Romance",138.0,India,Hindi,Raj Kapoor,"Inder Raj Anand, Inder Raj Anand",R.K. Films Ltd.,"Nargis, Kamini Kaushal, Nigar Sultana, Kamal Kapoor, Indumati, Prem Nath, Raj Kapoor, Vishwa Mehra, Shree Ram, Brijmohan, M.C. Kapoor, Pushpa, Shankar, Sandow, S. Sethi","Failing to move on from his loss of childhood love, a man turns to his passion for theater.",7.5,343.0,,,,,5.0,2.0,,,,,,
7,6072.0,tt0041123,Andaz,Andaz,1949.0,1949,"Musical, Drama, Crime",148.0,India,Hindi,Mehboob Khan,"Shams Lucknowi, S. Ali Raza",Mehboob Productions,"Nargis, Dilip Kumar, V.H. Desai, Cuckoo, Raj Kapoor, Murad, Anwari, Amir Banu, Jamshedji, Abbas, Wasker, Abdul, Dyke","Dilip loves Neena, but she treats him only as a friend. Later she gets married to Rajan. When he comes to know that Dilip once loved Neena, he misunderstands them and things change a lot then.",7.4,460.0,,,,,7.0,3.0,,,,,,
8,6082.0,tt0041161,Barsaat,Barsaat,1949.0,1949-04-21,"Drama, Romance, Musical",171.0,India,Hindi,Raj Kapoor,"Ramanand Sagar, Ramanand Sagar",All India Film Corporation,"Nargis, Raj Kapoor, Prem Nath, K.N. Singh, Cuckoo, Nimmi, B.M. Vyas, Ratan Gaurang, Vishwa Mehra, Dolly Baldev, B.N. Khera, Prakash Arora, Pushpa Bimla, Master Sandow","Pran and Gopal fall in love with village girls while on a holiday. After returning home, Gopal continues to flirt with other girls. But Pran realizes that he has truly fallen in love.",7.9,535.0,,,,,4.0,2.0,,,,,,
9,6233.0,tt0041619,Mahal,Mahal,1949.0,1949,"Drama, Horror, Mystery",165.0,India,"Hindi, Urdu",Kamal Amrohi,Kamal Amrohi,Dube Industries,"Ashok Kumar, Madhubala, M. Kumar, Vijayalaxmi, Kanu Roy, S. Nazir, Eruch Tarapore, Sheela Naik, Leela Pandey, Neelam, Kaneez, Jagannath, Mohsin, Laxman Rao, S.A. Baker","A young lawyer is involved with a ghostly woman in his new house, where the builder and his fiancée died shortly after it was built.",7.1,364.0,4500000.0,,,,7.0,2.0,,,,,,
