userId,Movie_id,Movie_Title,Released_Year,Duration,Genre,,
1,1,Gadhvi (He thought he was Gandhi),-2019,109 min,Drama,,
3,3,Yaaram,-2019,110 min,"Comedy, Romance",,
5,5,Aur Pyaar Ho Gaya,-1997,147 min,"Comedy, Drama, Musical",,
6,6,Yahaan,-2005,142 min,"Drama, Romance, War",,
8,8,A Question Mark,-2012,82 min,"Horror, Mystery, Thriller",,
9,9,Andheri,-2014,116 min,"Action, Crime, Thriller",,
10,10,An Ode to Lost Love,-2004,96 min,Drama,,
11,11,Ek Tera Saath,-2016,120 min,Horror,,
12,12,100 Days,-1991,161 min,"Horror, Romance, Thriller",,
13,13,100% Love,-2012,166 min,"Comedy, Drama, Romance",,
15,15,102 Not Out,-2018,102 min,"Comedy, Drama",,
18,18,10ml LOVE,-2010,87 min,"Comedy, Drama, Romance",,
21,21,12 O'Clock,-1958,132 min,"Crime, Drama, Mystery",,
22,22,12 O'Clock,-2021,105 min,"Horror, Thriller",,
25,25,127 B,-2017,116 min,"Comedy, Horror",,
28,28,13B: Fear Has a New Address,-2009,146 min,"Drama, Horror, Mystery",,
30,30,15 Park Avenue,-2005,116 min,Drama,,
32,32,15th August,-1993,168 min,Drama,,
33,33,16-Dec,-2002,158 min,"Action, Thriller",,
34,34,18.11,-2014,126 min,Action,,
36,36,19 Revolutions,-2004,94 min,Drama,,
38,38,1920,-2008,138 min,"Horror, Mystery, Romance",,
39,39,1920 London,-2016,120 min,"Horror, Mystery",,
40,40,1920: Evil Returns,-2012,124 min,"Drama, Horror, Romance",,
41,41,1921,-2018,144 min,"Horror, Mystery, Romance",,
42,42,1942: A Love Story,-1994,157 min,"Action, Drama, History",,
43,43,1971,-2007,136 min,"Action, Drama, War",,
44,44,1978: A Teen Night Out,-2019,107 min,Thriller,,
45,45,1982 - A Love Marriage,-2017,113 min,Comedy,,
50,50,2 Nights in Soul Valley,-2012,80 min,"Adventure, Horror, Mystery",,
51,51,02-Oct,-2003,122 min,"Action, Crime, Thriller",,
53,53,2 States,-2014,149 min,"Comedy, Drama, Romance",,
54,54,2,-2018,148 min,"Action, Sci-Fi",,
55,55,2001: Do Hazaar Ek,-1998,149 min,"Crime, Mystery, Thriller",,
58,58,2016 the End,-2017,130 min,Comedy,,
60,60,22 Days,-2018,124 min,Thriller,,
61,61,22 June 1897,-1979,121 min,"Drama, History",,
62,62,22 Yards,-2019,126 min,Sport,,
63,63,23rd March 1931: Shaheed,-2002,188 min,"Biography, Drama, History",,
69,69,27 Down,-1974,115 min,Drama,,
70,70,3 AM: A Paranormal Experience,-2014,103 min,"Horror, Romance",,
71,71,3 Bachelors,-2012,114 min,"Comedy, Romance",,
73,73,3 Deewarein,-2003,115 min,"Crime, Drama",,
74,74,3 Dev,-2019,122 min,Comedy,,
75,75,3 Idiots,-2009,170 min,"Comedy, Drama",,
78,78,3 Storeys,-2018,100 min,Drama,,
79,79,3.0 Megapixel,-2015,99 min,"Adventure, Drama",,
82,82,31st October,-2015,109 min,"Action, Drama, History",,
84,84,36 China Town,-2006,140 min,"Comedy, Mystery, Thriller",,
85,85,36 Chowringhee Lane,-1981,122 min,"Drama, Romance",,
87,87,376 D,-2020,128 min,"Crime, Thriller",,
88,88,377 AbNormal,-2019,93 min,Drama,,
89,89,3D Saamri,-1985,102 min,Horror,,
90,90,3G: A Killer Connection,-2013,125 min,"Horror, Sci-Fi, Thriller",,
91,91,3rd EYE,-2019,145 min,Horror,,
94,94,404: Error Not Found,-2011,121 min,"Drama, Mystery, Thriller",,
95,95,417 Miles,-2016,75 min,Drama,,
97,97,498A-The Wedding Gift,-2012,113 min,"Drama, Family, Musical",,
