userId,Movie_id,Movie_Title,Rating,Votes,timestamp
1,1,Gadhvi (He thought he was Gandhi),7,8,964982703
3,3,Yaaram,4.4,35,964981247
5,5,Aur Pyaar Ho Gaya,4.7,827,964982224
6,6,Yahaan,7.4,"1,086",964983815
8,8,A Question Mark,5.6,326,964982931
9,9,Andheri,4,11,964982400
10,10,An Ode to Lost Love,6.2,17,964980868
11,11,Ek Tera Saath,5.9,59,964982176
12,12,100 Days,6.5,983,964984041
13,13,100% Love,5.7,512,964984100
15,15,102 Not Out,7.4,"6,619",964983650
18,18,10ml LOVE,6.3,162,964981208
21,21,12 O'Clock,7.2,72,964980985
22,22,12 O'Clock,4.4,63,964981179
25,25,127 B,6.6,26,964980908
28,28,13B: Fear Has a New Address,7.3,"6,329",964981680
30,30,15 Park Avenue,7.1,"1,002",964982967
32,32,15th August,5.6,15,964982310
33,33,16-Dec,6.9,"1,235",964981179
34,34,18.11,3.5,10,964982563
36,36,19 Revolutions,4.5,16,964980962
38,38,1920,6.4,"3,100",964982588
39,39,1920 London,4.1,"1,559",964981710
40,40,1920: Evil Returns,4.8,"1,811",964982363
41,41,1921,4.5,"1,069",964980868
42,42,1942: A Love Story,7.2,"3,223",964981909
43,43,1971,8.1,"1,892",964982346
44,44,1978: A Teen Night Out,4,20,964981208
45,45,1982 - A Love Marriage,5.5,106,964984002
50,50,2 Nights in Soul Valley,6.8,21,964981179
51,51,02-Oct,5,33,964982653
53,53,2 States,6.9,"24,034",964984153
54,54,2,6.2,"21,938",964982546
55,55,2001: Do Hazaar Ek,3.5,112,964982271
58,58,2016 the End,6.1,94,964983793
60,60,22 Days,6.1,8,964982838
61,61,22 June 1897,7.7,52,964982931
62,62,22 Yards,6.1,361,964982563
63,63,23rd March 1931: Shaheed,5.1,642,964982838
69,69,27 Down,6.9,194,964981775
70,70,3 AM: A Paranormal Experience,5,514,964982400
71,71,3 Bachelors,3.3,165,964982653
73,73,3 Deewarein,7.8,"2,322",964984086
74,74,3 Dev,6.9,35,964980499
75,75,3 Idiots,8.4,"3,57,889",964982475
78,78,3 Storeys,6.9,358,964981529
79,79,3.0 Megapixel,4.3,6,964982176
82,82,31st October,5.8,238,964983614
84,84,36 China Town,5.7,"4,373",964983219
85,85,36 Chowringhee Lane,7.5,392,964981775
87,87,376 D,5.7,252,964982681
88,88,377 AbNormal,5.6,93,964982876
89,89,3D Saamri,5.6,80,964982791
90,90,3G: A Killer Connection,3.6,"1,128",964982855
91,91,3rd EYE,6.3,6,964982903
94,94,404: Error Not Found,7.3,"2,548",964982653
95,95,417 Miles,4.8,9,964982791
97,97,498A-The Wedding Gift,7.8,21,964981179
99,99,5 Ghantey Mien 5 Crore,5.7,75,964982400
100,100,5 Rifles,6.5,36,964980924
105,105,5ters: Castle of Dark Master,4.6,19,964981680
109,109,6-5=2,4.2,171,964981327
110,110,68 Pages,6.2,31,964982951
113,113,7 1/2 Phere: More Than a Wedding,5.3,281,964984018
114,114,7 Bijliyaan,5,7,964983484
116,116,7 Hours to Go,5.7,398,964981680
117,117,7 Islands and a Metro,6.2,10,964982513
118,118,7 Khoon Maaf,6.1,"5,640",964981327
119,119,7 Saal Baad,4.1,34,964981827
120,120,706,5.3,449,964981872
121,121,72 Hours: Martyr Who Never Died,5.3,249,964981827
125,125,8 x 10 Tasveer,5.4,"5,459",964983737
126,126,8119 Miles,6.6,21,964983250
128,128,88 Antop Hill,4.7,66,964980499
129,129,9 O' Clock,5.3,9,964982951
132,132,99,7.3,"2,767",964981855
133,133,99 Songs,7.4,"1,901",964983393
134,134,99.9 FM,4.8,38,964981909
137,137,A Billion Colour Story,8.1,412,964981909
142,142,A Daughter's Tale PANKH,6.3,10,964984018
143,143,A Death in the Gunj,7.5,"4,637",964983618
146,146,A Film by Aravind,6.8,179,964983723
147,147,A Flat,4.5,202,964981442
148,148,A Flying Jatt,3,"4,145",964983414
149,149,A Game Called Relationship,6.3,181,964983599
150,150,A Gentleman,6.2,"5,227",964983705
151,151,A Gift of Love: Sifar,8,33,964982290
153,153,A Journey of Samyak Buddha,7.3,17,964983414
156,156,A New Love Ishtory,6,80,964982703
160,160,A Scandall,3.1,142,964981909
167,167,A Sublime Love Story: Barsaat,3.8,627,964984086
169,169,A Thin Line,7.9,24,964983393
173,173,A Wednesday,8.1,"75,118",964982653
175,175,Aa Ab Laut Chalen,5.5,"1,621",964983017
176,176,AA BB KK,8,249,964982310
178,178,Aa Dekhen Zara,5,866,964984112
179,179,Aa Gale Lag Jaa,7.2,348,964980875
180,180,Aa Gale Lag Jaa,4.4,115,964980985
181,181,Aa Gaya Hero,2.7,339,964981107
182,182,Aa Jao Please,6.8,16,964982620
184,184,Aabra Ka Daabra,2.4,264,964982290
186,186,Aabroo,5.5,21,964981125
192,192,Aadamkhor,7.4,150,964982346
197,197,Aadat Se Majboor,5.5,28,964982951
198,198,Aadha Din Aadhee Raat,5.1,18,964983056
199,199,Aadhaar,7.6,69,964983504
201,201,Aadharshila,6.4,19,964983536
203,203,Aadhi Bhagavan,5.4,568,964982620
207,207,Aadhi Raat,6.7,9,964981125
212,212,Aadmi,6.8,196,964981230
213,213,Aadmi,6.5,97,964981404
214,214,Aadmi Aur Apsara,6.7,66,964983034
216,216,Aadmi Aur Insaan,6.2,149,964983056
217,217,Aadmi Khilona Hai,5,142,964981780
218,218,Aadmi Ki Aurat Aur Anya Kahaniya,7.6,62,964981497
219,219,Aadmi Sadak Ka,5.4,34,964982176
220,220,Aadupuliyattam,4.2,266,964981710
221,221,Aafat,5.3,17,964982211
224,224,Aag,7.4,357,964981710
226,226,Aag,4.6,227,964984176
229,229,Aag Aur Chingari,4.1,13,964980523
236,236,Aag Hi Aag,5.3,93,964981888
